L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
32kB,256kB,2,4,131009184000,0.131009,64.88,0.507155,0.002001,0.492845,0.997999,288
32kB,256kB,2,8,131010791000,0.131011,64.16,0.507155,0.002007,0.492845,0.997993,288
32kB,256kB,2,16,131007005000,0.131007,64.95,0.507155,0.001989,0.492845,0.998011,288
32kB,256kB,4,4,128913959000,0.128914,64.83,0.496386,0.002045,0.503614,0.997955,288
32kB,256kB,4,8,128915226000,0.128915,65.49,0.496386,0.002052,0.503614,0.997948,288
32kB,256kB,4,16,128911310000,0.128911,64.91,0.496386,0.002029,0.503614,0.997971,288
32kB,256kB,8,4,128910717000,0.128911,65.88,0.496359,0.002042,0.503641,0.997958,288
32kB,256kB,8,8,128912148000,0.128912,66.38,0.496359,0.002051,0.503641,0.997949,288
32kB,256kB,8,16,128907657000,0.128908,67.17,0.496359,0.002026,0.503641,0.997974,288
32kB,512kB,2,4,131001830000,0.131002,64.49,0.507155,0.00196,0.492845,0.99804,544
32kB,512kB,2,8,131001830000,0.131002,65.79,0.507155,0.00196,0.492845,0.99804,544
32kB,512kB,2,16,131001830000,0.131002,64.4,0.507155,0.00196,0.492845,0.99804,544
32kB,512kB,4,4,128906729000,0.128907,49.28,0.496386,0.002002,0.503614,0.997998,544
32kB,512kB,4,8,128906729000,0.128907,44.0,0.496386,0.002002,0.503614,0.997998,544
32kB,512kB,4,16,128906729000,0.128907,48.98,0.496386,0.002002,0.503614,0.997998,544
32kB,512kB,8,4,128903833000,0.128904,47.84,0.496359,0.002002,0.503641,0.997998,544
32kB,512kB,8,8,128903833000,0.128904,35.68,0.496359,0.002002,0.503641,0.997998,544
32kB,512kB,8,16,128903833000,0.128904,35.67,0.496359,0.002002,0.503641,0.997998,544
64kB,128kB,2,4,81830308000,0.08183,34.04,0.027937,0.06693,0.972063,0.93307,192
64kB,128kB,2,8,81784378000,0.081784,29.13,0.027937,0.062783,0.972063,0.937217,192
64kB,128kB,2,16,81785139000,0.081785,40.87,0.027937,0.062525,0.972063,0.9374750000000001,192
64kB,128kB,4,4,80516794000,0.080517,41.06,0.025189,0.069362,0.974811,0.930638,192
64kB,128kB,4,8,80513293000,0.080513,27.61,0.025189,0.069362,0.974811,0.930638,192
64kB,128kB,4,16,80513293000,0.080513,31.07,0.025189,0.069307,0.974811,0.930693,192
64kB,128kB,8,4,82175241000,0.082175,41.73,0.041297,0.042344,0.958703,0.957656,192
64kB,128kB,8,8,82173507000,0.082174,30.59,0.041297,0.042322,0.958703,0.957678,192
64kB,128kB,8,16,82171799000,0.082172,40.91,0.041297,0.042328,0.958703,0.957672,192
64kB,256kB,2,4,81523870000,0.081524,32.19,0.027937,0.036148,0.972063,0.963852,320
64kB,256kB,2,8,81524192000,0.081524,40.72,0.027937,0.036181,0.972063,0.963819,320
64kB,256kB,2,16,81519556000,0.08152,31.13,0.027937,0.03575,0.972063,0.96425,320
64kB,256kB,4,4,80258703000,0.080259,29.01,0.025189,0.040273,0.974811,0.959727,320
64kB,256kB,4,8,80257549000,0.080258,28.07,0.025189,0.040116,0.974811,0.959884,320
64kB,256kB,4,16,80252749000,0.080253,40.29,0.025189,0.03962,0.974811,0.96038,320
64kB,256kB,8,4,81921726000,0.081922,30.49,0.041297,0.024568,0.958703,0.975432,320
64kB,256kB,8,8,81921128000,0.081921,29.41,0.041297,0.0245,0.958703,0.9755,320
64kB,256kB,8,16,81916254000,0.081916,39.97,0.041297,0.024197,0.958703,0.975803,320
64kB,512kB,2,4,81516946000,0.081517,27.71,0.027937,0.035476,0.972063,0.964524,576
64kB,512kB,2,8,81516946000,0.081517,34.92,0.027937,0.035476,0.972063,0.964524,576
64kB,512kB,2,16,81516946000,0.081517,40.66,0.027937,0.035476,0.972063,0.964524,576
64kB,512kB,4,4,80250230000,0.08025,30.0,0.025189,0.039335,0.974811,0.960665,576
64kB,512kB,4,8,80250230000,0.08025,39.48,0.025189,0.039335,0.974811,0.960665,576
64kB,512kB,4,16,80250230000,0.08025,37.97,0.025189,0.039335,0.974811,0.960665,576
64kB,512kB,8,4,81913815000,0.081914,41.14,0.041297,0.024023,0.958703,0.975977,576
64kB,512kB,8,8,81913815000,0.081914,34.58,0.041297,0.024023,0.958703,0.975977,576
64kB,512kB,8,16,81913815000,0.081914,40.27,0.041297,0.024023,0.958703,0.975977,576
