L1_Size,L2_Size,L1_Assoc,L2_Assoc,Time,L1_MissRate,L2_MissRate
16kB,128kB,2,4,0.011531,0.053519,0.064105
16kB,128kB,2,8,0.011531,0.053519,0.063725
16kB,128kB,2,16,0.011527,0.053519,0.062617
16kB,128kB,4,4,0.011216,0.048442,0.070545
16kB,128kB,4,8,0.011215,0.048442,0.070196
16kB,128kB,4,16,0.011213,0.048442,0.069113
16kB,128kB,8,4,0.011552,0.072359,0.047495
16kB,128kB,8,8,0.011550,0.072359,0.047096
16kB,128kB,8,16,0.011548,0.072359,0.046579
16kB,256kB,2,4,0.011527,0.053519,0.062522
16kB,256kB,2,8,0.011527,0.053519,0.062458
16kB,256kB,2,16,0.011527,0.053519,0.062458
16kB,256kB,4,4,0.011212,0.048442,0.068938
16kB,256kB,4,8,0.011212,0.048442,0.068938
16kB,256kB,4,16,0.011212,0.048442,0.068938
16kB,256kB,8,4,0.011548,0.072359,0.046391
16kB,256kB,8,8,0.011548,0.072359,0.046344
16kB,256kB,8,16,0.011548,0.072359,0.046344
16kB,512kB,2,4,0.011527,0.053519,0.062458
16kB,512kB,2,8,0.011527,0.053519,0.062458
16kB,512kB,2,16,0.011527,0.053519,0.062458
16kB,512kB,4,4,0.011212,0.048442,0.068938
16kB,512kB,4,8,0.011212,0.048442,0.068938
16kB,512kB,4,16,0.011212,0.048442,0.068938
16kB,512kB,8,4,0.011548,0.072359,0.046344
16kB,512kB,8,8,0.011548,0.072359,0.046344
16kB,512kB,8,16,0.011548,0.072359,0.046344
32kB,128kB,2,4,0.011389,0.043488,0.077931
32kB,128kB,2,8,0.011389,0.043488,0.077542
32kB,128kB,2,16,0.011387,0.043488,0.076842
32kB,128kB,4,4,0.010609,0.005122,0.599402
32kB,128kB,4,8,0.010607,0.005122,0.595217
32kB,128kB,4,16,0.010606,0.005122,0.590732
32kB,128kB,8,4,0.010608,0.005130,0.597015
32kB,128kB,8,8,0.010607,0.005130,0.593433
32kB,128kB,8,16,0.010606,0.005130,0.589851
32kB,256kB,2,4,0.011387,0.043488,0.076687
32kB,256kB,2,8,0.011387,0.043488,0.076687
32kB,256kB,2,16,0.011387,0.043488,0.076687
32kB,256kB,4,4,0.010606,0.005122,0.589836
32kB,256kB,4,8,0.010606,0.005122,0.589836
32kB,256kB,4,16,0.010606,0.005122,0.589836
32kB,256kB,8,4,0.010606,0.005130,0.588955
32kB,256kB,8,8,0.010606,0.005130,0.588955
32kB,256kB,8,16,0.010606,0.005130,0.588955
32kB,512kB,2,4,0.011387,0.043488,0.076687
32kB,512kB,2,8,0.011387,0.043488,0.076687
32kB,512kB,2,16,0.011387,0.043488,0.076687
32kB,512kB,4,4,0.010606,0.005122,0.589836
32kB,512kB,4,8,0.010606,0.005122,0.589836
32kB,512kB,4,16,0.010606,0.005122,0.589836
32kB,512kB,8,4,0.010606,0.005130,0.588955
32kB,512kB,8,8,0.010606,0.005130,0.588955
32kB,512kB,8,16,0.010606,0.005130,0.588955
64kB,128kB,2,4,0.010592,0.003814,0.785355
64kB,128kB,2,8,0.010589,0.003814,0.771019
64kB,128kB,2,16,0.010588,0.003814,0.766757
64kB,128kB,4,4,0.010591,0.003853,0.772954
64kB,128kB,4,8,0.010590,0.003853,0.764118
64kB,128kB,4,16,0.010589,0.003853,0.759508
64kB,128kB,8,4,0.010590,0.003862,0.769555
64kB,128kB,8,8,0.010589,0.003862,0.762270
64kB,128kB,8,16,0.010588,0.003862,0.758052
64kB,256kB,2,4,0.010588,0.003814,0.764432
64kB,256kB,2,8,0.010588,0.003814,0.764432
64kB,256kB,2,16,0.010588,0.003814,0.764432
64kB,256kB,4,4,0.010588,0.003853,0.757972
64kB,256kB,4,8,0.010588,0.003853,0.757972
64kB,256kB,4,16,0.010588,0.003853,0.757972
64kB,256kB,8,4,0.010588,0.003862,0.756518
64kB,256kB,8,8,0.010588,0.003862,0.756518
64kB,256kB,8,16,0.010588,0.003862,0.756518
64kB,512kB,2,4,0.010588,0.003814,0.764432
64kB,512kB,2,8,0.010588,0.003814,0.764432
64kB,512kB,2,16,0.010588,0.003814,0.764432
64kB,512kB,4,4,0.010588,0.003853,0.757972
64kB,512kB,4,8,0.010588,0.003853,0.757972
64kB,512kB,4,16,0.010588,0.003853,0.757972
64kB,512kB,8,4,0.010588,0.003862,0.756518
64kB,512kB,8,8,0.010588,0.003862,0.756518
64kB,512kB,8,16,0.010588,0.003862,0.756518
