L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
128kB,128kB,2,4,10573600000,0.010574,3.67,0.002844,0.98311,0.997156,0.01688999999999996,256
128kB,128kB,2,8,10573116000,0.010573,3.43,0.002844,0.980129,0.997156,0.019870999999999972,256
128kB,128kB,2,16,10573116000,0.010573,3.52,0.002844,0.980129,0.997156,0.019870999999999972,256
128kB,128kB,4,4,10573193000,0.010573,5.13,0.002796,0.998992,0.997204,0.0010080000000000089,256
128kB,128kB,4,8,10572815000,0.010573,5.3,0.002796,0.994962,0.997204,0.005037999999999987,256
128kB,128kB,4,16,10572666000,0.010573,5.04,0.002796,0.993955,0.997204,0.006044999999999967,256
128kB,128kB,8,4,10572396000,0.010572,3.4,0.002775,1.0,0.997225,0.0,256
128kB,128kB,8,8,10572396000,0.010572,3.58,0.002775,1.0,0.997225,0.0,256
128kB,128kB,8,16,10572396000,0.010572,3.65,0.002775,1.0,0.997225,0.0,256
128kB,256kB,2,4,10573116000,0.010573,3.45,0.002844,0.980129,0.997156,0.019870999999999972,384
128kB,256kB,2,8,10573116000,0.010573,5.15,0.002844,0.980129,0.997156,0.019870999999999972,384
128kB,256kB,2,16,10573116000,0.010573,3.73,0.002844,0.980129,0.997156,0.019870999999999972,384
128kB,256kB,4,4,10572666000,0.010573,3.51,0.002796,0.993955,0.997204,0.006044999999999967,384
128kB,256kB,4,8,10572666000,0.010573,3.59,0.002796,0.993955,0.997204,0.006044999999999967,384
128kB,256kB,4,16,10572666000,0.010573,3.61,0.002796,0.993955,0.997204,0.006044999999999967,384
128kB,256kB,8,4,10572396000,0.010572,3.44,0.002775,1.0,0.997225,0.0,384
128kB,256kB,8,8,10572396000,0.010572,3.48,0.002775,1.0,0.997225,0.0,384
128kB,256kB,8,16,10572396000,0.010572,3.69,0.002775,1.0,0.997225,0.0,384
128kB,512kB,2,4,10573116000,0.010573,3.63,0.002844,0.980129,0.997156,0.019870999999999972,640
128kB,512kB,2,8,10573116000,0.010573,5.21,0.002844,0.980129,0.997156,0.019870999999999972,640
128kB,512kB,2,16,10573116000,0.010573,3.38,0.002844,0.980129,0.997156,0.019870999999999972,640
128kB,512kB,4,4,10572666000,0.010573,3.43,0.002796,0.993955,0.997204,0.006044999999999967,640
128kB,512kB,4,8,10572666000,0.010573,3.43,0.002796,0.993955,0.997204,0.006044999999999967,640
128kB,512kB,4,16,10572666000,0.010573,3.57,0.002796,0.993955,0.997204,0.006044999999999967,640
128kB,512kB,8,4,10572396000,0.010572,3.45,0.002775,1.0,0.997225,0.0,640
128kB,512kB,8,8,10572396000,0.010572,3.45,0.002775,1.0,0.997225,0.0,640
128kB,512kB,8,16,10572396000,0.010572,5.04,0.002775,1.0,0.997225,0.0,640
16kB,128kB,2,4,11531474000,0.011531,6.88,0.053519,0.064105,0.946481,0.935895,144
16kB,128kB,2,8,11530558000,0.011531,6.86,0.053519,0.063725,0.946481,0.936275,144
16kB,128kB,2,16,11527305000,0.011527,6.79,0.053519,0.062617,0.946481,0.937383,144
16kB,128kB,4,4,11215890000,0.011216,6.97,0.048442,0.070545,0.951558,0.929455,144
16kB,128kB,4,8,11215211000,0.011215,7.25,0.048442,0.070196,0.951558,0.929804,144
16kB,128kB,4,16,11212566000,0.011213,7.17,0.048442,0.069113,0.951558,0.930887,144
16kB,128kB,8,4,11551507000,0.011552,7.28,0.072359,0.047495,0.9276409999999999,0.952505,144
16kB,128kB,8,8,11550019000,0.01155,7.4,0.072359,0.047096,0.9276409999999999,0.952904,144
16kB,128kB,8,16,11548353000,0.011548,7.53,0.072359,0.046579,0.9276409999999999,0.953421,144
16kB,256kB,2,4,11527233000,0.011527,6.95,0.053519,0.062522,0.946481,0.937478,272
16kB,256kB,2,8,11527118000,0.011527,7.12,0.053519,0.062458,0.946481,0.937542,272
16kB,256kB,2,16,11527118000,0.011527,7.12,0.053519,0.062458,0.946481,0.937542,272
16kB,256kB,4,4,11212036000,0.011212,8.92,0.048442,0.068938,0.951558,0.9310620000000001,272
16kB,256kB,4,8,11212036000,0.011212,7.11,0.048442,0.068938,0.951558,0.9310620000000001,272
16kB,256kB,4,16,11212036000,0.011212,7.0,0.048442,0.068938,0.951558,0.9310620000000001,272
16kB,256kB,8,4,11547571000,0.011548,7.29,0.072359,0.046391,0.9276409999999999,0.953609,272
16kB,256kB,8,8,11547569000,0.011548,7.42,0.072359,0.046344,0.9276409999999999,0.953656,272
16kB,256kB,8,16,11547569000,0.011548,7.4,0.072359,0.046344,0.9276409999999999,0.953656,272
16kB,512kB,2,4,11527118000,0.011527,6.8,0.053519,0.062458,0.946481,0.937542,528
16kB,512kB,2,8,11527118000,0.011527,7.14,0.053519,0.062458,0.946481,0.937542,528
16kB,512kB,2,16,11527118000,0.011527,6.79,0.053519,0.062458,0.946481,0.937542,528
16kB,512kB,4,4,11212036000,0.011212,6.96,0.048442,0.068938,0.951558,0.9310620000000001,528
16kB,512kB,4,8,11212036000,0.011212,6.9,0.048442,0.068938,0.951558,0.9310620000000001,528
16kB,512kB,4,16,11212036000,0.011212,6.93,0.048442,0.068938,0.951558,0.9310620000000001,528
16kB,512kB,8,4,11547569000,0.011548,7.3,0.072359,0.046344,0.9276409999999999,0.953656,528
16kB,512kB,8,8,11547569000,0.011548,7.21,0.072359,0.046344,0.9276409999999999,0.953656,528
16kB,512kB,8,16,11547569000,0.011548,7.28,0.072359,0.046344,0.9276409999999999,0.953656,528
32kB,128kB,2,4,11389495000,0.011389,6.82,0.043488,0.077931,0.956512,0.922069,160
32kB,128kB,2,8,11388858000,0.011389,7.09,0.043488,0.077542,0.956512,0.922458,160
32kB,128kB,2,16,11387116000,0.011387,7.08,0.043488,0.076842,0.956512,0.923158,160
32kB,128kB,4,4,10608511000,0.010609,6.8,0.005122,0.599402,0.994878,0.400598,160
32kB,128kB,4,8,10607462000,0.010607,6.81,0.005122,0.595217,0.994878,0.404783,160
32kB,128kB,4,16,10606350000,0.010606,6.76,0.005122,0.590732,0.994878,0.40926799999999997,160
32kB,128kB,8,4,10608399000,0.010608,7.05,0.00513,0.597015,0.99487,0.40298500000000004,160
32kB,128kB,8,8,10607168000,0.010607,8.13,0.00513,0.593433,0.99487,0.406567,160
32kB,128kB,8,16,10606350000,0.010606,6.98,0.00513,0.589851,0.99487,0.410149,160
32kB,256kB,2,4,11386965000,0.011387,7.07,0.043488,0.076687,0.956512,0.923313,288
32kB,256kB,2,8,11386965000,0.011387,6.91,0.043488,0.076687,0.956512,0.923313,288
32kB,256kB,2,16,11386965000,0.011387,6.93,0.043488,0.076687,0.956512,0.923313,288
32kB,256kB,4,4,10606072000,0.010606,6.69,0.005122,0.589836,0.994878,0.410164,288
32kB,256kB,4,8,10606072000,0.010606,7.04,0.005122,0.589836,0.994878,0.410164,288
32kB,256kB,4,16,10606072000,0.010606,6.93,0.005122,0.589836,0.994878,0.410164,288
32kB,256kB,8,4,10606072000,0.010606,7.12,0.00513,0.588955,0.99487,0.411045,288
32kB,256kB,8,8,10606072000,0.010606,6.83,0.00513,0.588955,0.99487,0.411045,288
32kB,256kB,8,16,10606072000,0.010606,6.88,0.00513,0.588955,0.99487,0.411045,288
32kB,512kB,2,4,11386965000,0.011387,7.13,0.043488,0.076687,0.956512,0.923313,544
32kB,512kB,2,8,11386965000,0.011387,6.95,0.043488,0.076687,0.956512,0.923313,544
32kB,512kB,2,16,11386965000,0.011387,6.98,0.043488,0.076687,0.956512,0.923313,544
32kB,512kB,4,4,10606072000,0.010606,4.14,0.005122,0.589836,0.994878,0.410164,544
32kB,512kB,4,8,10606072000,0.010606,5.09,0.005122,0.589836,0.994878,0.410164,544
32kB,512kB,4,16,10606072000,0.010606,3.61,0.005122,0.589836,0.994878,0.410164,544
32kB,512kB,8,4,10606072000,0.010606,3.56,0.00513,0.588955,0.99487,0.411045,544
32kB,512kB,8,8,10606072000,0.010606,5.51,0.00513,0.588955,0.99487,0.411045,544
32kB,512kB,8,16,10606072000,0.010606,3.93,0.00513,0.588955,0.99487,0.411045,544
64kB,128kB,2,4,10591995000,0.010592,5.28,0.003814,0.785355,0.996186,0.21464499999999997,192
64kB,128kB,2,8,10589135000,0.010589,5.27,0.003814,0.771019,0.996186,0.228981,192
64kB,128kB,2,16,10588303000,0.010588,5.42,0.003814,0.766757,0.996186,0.23324299999999998,192
64kB,128kB,4,4,10591455000,0.010591,3.81,0.003853,0.772954,0.996147,0.22704599999999997,192
64kB,128kB,4,8,10589666000,0.01059,5.33,0.003853,0.764118,0.996147,0.23588200000000004,192
64kB,128kB,4,16,10588534000,0.010589,3.78,0.003853,0.759508,0.996147,0.24049200000000004,192
64kB,128kB,8,4,10590031000,0.01059,4.75,0.003862,0.769555,0.996138,0.230445,192
64kB,128kB,8,8,10588596000,0.010589,5.41,0.003862,0.76227,0.996138,0.23773,192
64kB,128kB,8,16,10588089000,0.010588,3.64,0.003862,0.758052,0.996138,0.24194800000000005,192
64kB,256kB,2,4,10587980000,0.010588,3.97,0.003814,0.764432,0.996186,0.235568,320
64kB,256kB,2,8,10587980000,0.010588,5.43,0.003814,0.764432,0.996186,0.235568,320
64kB,256kB,2,16,10587980000,0.010588,3.64,0.003814,0.764432,0.996186,0.235568,320
64kB,256kB,4,4,10588383000,0.010588,3.88,0.003853,0.757972,0.996147,0.24202800000000002,320
64kB,256kB,4,8,10588383000,0.010588,5.02,0.003853,0.757972,0.996147,0.24202800000000002,320
64kB,256kB,4,16,10588383000,0.010588,3.68,0.003853,0.757972,0.996147,0.24202800000000002,320
