L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
64kB,256kB,8,16,Simple,4.051431,4051431186000,0.019771,0.788656,0.294916
64kB,256kB,8,16,Chunked,4.069368,4069368333000,0.019184,0.779735,0.296090
64kB,256kB,16,4,Simple,4.036263,4036263025000,0.019852,0.754041,0.296025
64kB,256kB,16,4,Chunked,4.067056,4067055736000,0.019220,0.775395,0.296258
64kB,256kB,16,8,Simple,4.049149,4049149256000,0.019852,0.781512,0.295083
64kB,256kB,16,8,Chunked,4.068744,4068743543000,0.019220,0.777221,0.296135
64kB,256kB,16,16,Simple,4.051774,4051773781000,0.019852,0.785470,0.294892
64kB,256kB,16,16,Chunked,4.069524,4069524058000,0.019220,0.778261,0.296079
64kB,512kB,4,4,Simple,3.971377,3971376609000,0.019212,0.666720,0.300861
64kB,512kB,4,4,Chunked,4.004826,4004826400000,0.019130,0.667644,0.300862
64kB,512kB,4,8,Simple,3.985921,3985921391000,0.019212,0.696931,0.299763
64kB,512kB,4,8,Chunked,4.006395,4006395224000,0.019130,0.669925,0.300744
64kB,512kB,4,16,Simple,3.988331,3988330872000,0.019212,0.700749,0.299582
64kB,512kB,4,16,Chunked,4.007310,4007310128000,0.019130,0.671219,0.300675
64kB,512kB,8,4,Simple,3.975511,3975511084000,0.019771,0.647849,0.300548
64kB,512kB,8,4,Chunked,4.004858,4004857521000,0.019184,0.665791,0.300859
64kB,512kB,8,8,Simple,3.989947,3989946858000,0.019771,0.677204,0.299461
64kB,512kB,8,8,Chunked,4.006458,4006457514000,0.019184,0.668066,0.300739
64kB,512kB,8,16,Simple,3.992447,3992447091000,0.019771,0.680915,0.299274
64kB,512kB,8,16,Chunked,4.007310,4007310104000,0.019184,0.669356,0.300675
64kB,512kB,16,4,Simple,3.975986,3975986045000,0.019852,0.645231,0.300513
64kB,512kB,16,4,Chunked,4.005013,4005013246000,0.019220,0.664532,0.300848
64kB,512kB,16,8,Simple,3.990321,3990320598000,0.019852,0.674468,0.299433
64kB,512kB,16,8,Chunked,4.006551,4006550949000,0.019220,0.666803,0.300732
64kB,512kB,16,16,Simple,3.992777,3992776821000,0.019852,0.678164,0.299249
64kB,512kB,16,16,Chunked,4.007391,4007390800000,0.019220,0.668090,0.300669
64kB,1024kB,4,4,Simple,3.912357,3912356799000,0.019212,0.556020,0.305400
64kB,1024kB,4,4,Chunked,3.943131,3943130879000,0.019130,0.557305,0.305569
64kB,1024kB,4,8,Simple,3.927018,3927018416000,0.019212,0.586307,0.304260
64kB,1024kB,4,8,Chunked,3.944605,3944605335000,0.019130,0.559421,0.305455
64kB,1024kB,4,16,Simple,3.929462,3929461752000,0.019212,0.589980,0.304071
64kB,1024kB,4,16,Chunked,3.945565,3945565200000,0.019130,0.560775,0.305381
64kB,1024kB,8,4,Simple,3.916468,3916467915000,0.019771,0.540282,0.305079
64kB,1024kB,8,4,Chunked,3.943162,3943162024000,0.019184,0.555758,0.305567
64kB,1024kB,8,8,Simple,3.931161,3931160677000,0.019771,0.569712,0.303939
64kB,1024kB,8,8,Chunked,3.944699,3944698746000,0.019184,0.557868,0.305448
64kB,1024kB,8,16,Simple,3.933542,3933541723000,0.019771,0.573281,0.303755
64kB,1024kB,8,16,Chunked,3.945534,3945534031000,0.019184,0.559219,0.305383
64kB,1024kB,16,4,Simple,3.916842,3916841655000,0.019852,0.538099,0.305050
64kB,1024kB,16,4,Chunked,3.943255,3943255459000,0.019220,0.554708,0.305559
64kB,1024kB,16,8,Simple,3.931503,3931503272000,0.019852,0.567410,0.303913
64kB,1024kB,16,8,Chunked,3.944761,3944761036000,0.019220,0.556814,0.305443
64kB,1024kB,16,16,Simple,3.933947,3933946608000,0.019852,0.570965,0.303724
64kB,1024kB,16,16,Chunked,3.945659,3945658611000,0.019220,0.558162,0.305373
128kB,256kB,4,4,Simple,4.010925,4010924696000,0.017068,0.864171,0.297895
128kB,256kB,4,4,Chunked,4.053571,4053571220000,0.017023,0.875422,0.297244
128kB,256kB,4,8,Simple,4.022929,4022929347000,0.017068,0.896642,0.297006
128kB,256kB,4,8,Chunked,4.053944,4053943691000,0.017023,0.876797,0.297217
128kB,256kB,4,16,Simple,4.033290,4033289599000,0.017068,0.911919,0.296243
128kB,256kB,4,16,Chunked,4.054995,4054994835000,0.017023,0.877447,0.297139
128kB,256kB,8,4,Simple,4.014851,4014850825000,0.017642,0.835984,0.297604
128kB,256kB,8,4,Chunked,4.053509,4053509118000,0.017061,0.873485,0.297248
128kB,256kB,8,8,Simple,4.028036,4028035574000,0.017642,0.868871,0.296629
128kB,256kB,8,8,Chunked,4.053727,4053726885000,0.017061,0.875080,0.297232
128kB,256kB,8,16,Simple,4.037774,4037773556000,0.017642,0.883193,0.295914
128kB,256kB,8,16,Chunked,4.055232,4055232292000,0.017061,0.876223,0.297122
128kB,256kB,16,4,Simple,4.014999,4014998764000,0.017722,0.832219,0.297593
128kB,256kB,16,4,Chunked,4.053687,4053686745000,0.017085,0.872293,0.297235
128kB,256kB,16,8,Simple,4.029174,4029173884000,0.017722,0.865630,0.296546
128kB,256kB,16,8,Chunked,4.053954,4053954092000,0.017085,0.873373,0.297216
128kB,256kB,16,16,Simple,4.038628,4038628282000,0.017722,0.880237,0.295851
128kB,256kB,16,16,Chunked,4.054898,4054898410000,0.017085,0.874717,0.297147
128kB,512kB,4,4,Simple,3.956980,3956979809000,0.017068,0.752356,0.301956
128kB,512kB,4,4,Chunked,3.989160,3989160441000,0.017023,0.750278,0.302043
128kB,512kB,4,8,Simple,3.969921,3969920623000,0.017068,0.784462,0.300972
128kB,512kB,4,8,Chunked,3.990729,3990729289000,0.017023,0.752842,0.301925
128kB,512kB,4,16,Simple,3.972359,3972358566000,0.017068,0.788760,0.300787
128kB,512kB,4,16,Chunked,3.991644,3991644169000,0.017023,0.754296,0.301855
128kB,512kB,8,4,Simple,3.961153,3961153239000,0.017642,0.727867,0.301638
128kB,512kB,8,4,Chunked,3.989106,3989105978000,0.017061,0.748605,0.302047
128kB,512kB,8,8,Simple,3.974156,3974156343000,0.017642,0.758933,0.300651
128kB,512kB,8,8,Chunked,3.990636,3990635854000,0.017061,0.751163,0.301932
128kB,512kB,8,16,Simple,3.976651,3976651497000,0.017642,0.763092,0.300462
128kB,512kB,8,16,Chunked,3.991613,3991613024000,0.017061,0.752614,0.301858
128kB,512kB,16,4,Simple,3.961434,3961433544000,0.017722,0.724579,0.301617
128kB,512kB,16,4,Chunked,3.989168,3989168268000,0.017085,0.747583,0.302043
128kB,512kB,16,8,Simple,3.974499,3974498938000,0.017722,0.755515,0.300625
128kB,512kB,16,8,Chunked,3.990729,3990729289000,0.017085,0.750138,0.301925
128kB,512kB,16,16,Simple,3.977025,3977025237000,0.017722,0.759655,0.300434
128kB,512kB,16,16,Chunked,3.991600,3991600285000,0.017085,0.751586,0.301859
128kB,1024kB,4,4,Simple,3.896411,3896410535000,0.017068,0.625852,0.306650
128kB,1024kB,4,4,Chunked,3.927496,3927496089000,0.017023,0.626283,0.306786
128kB,1024kB,4,8,Simple,3.911103,3911103297000,0.017068,0.659945,0.305498
128kB,1024kB,4,8,Chunked,3.928971,3928970521000,0.017023,0.628661,0.306670
128kB,1024kB,4,16,Simple,3.913547,3913546633000,0.017068,0.664079,0.305307
128kB,1024kB,4,16,Chunked,3.929899,3929899241000,0.017023,0.630183,0.306598
128kB,1024kB,8,4,Simple,3.900677,3900677400000,0.017642,0.605485,0.306314
128kB,1024kB,8,4,Chunked,3.927434,3927433799000,0.017061,0.624886,0.306790
128kB,1024kB,8,8,Simple,3.915347,3915346803000,0.017642,0.638468,0.305167
128kB,1024kB,8,8,Chunked,3.928877,3928877086000,0.017061,0.627259,0.306678
128kB,1024kB,8,16,Simple,3.917845,3917844643000,0.017642,0.642468,0.304972
128kB,1024kB,8,16,Chunked,3.929806,3929805806000,0.017061,0.628777,0.306605
128kB,1024kB,16,4,Simple,3.900958,3900957705000,0.017722,0.602758,0.306292
128kB,1024kB,16,4,Chunked,3.927496,3927496089000,0.017085,0.624033,0.306786
128kB,1024kB,16,8,Simple,3.915721,3915720543000,0.017722,0.635593,0.305138
128kB,1024kB,16,8,Chunked,3.928971,3928970521000,0.017085,0.626402,0.306670
128kB,1024kB,16,16,Simple,3.918125,3918124948000,0.017722,0.639574,0.304950
128kB,1024kB,16,16,Chunked,3.929899,3929899241000,0.017085,0.627919,0.306598
