L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
64kB,256kB,8,16,Chunked,3.871271,3871271369606,0.013371,0.708412,0.318797
64kB,256kB,16,4,Simple,4.3977,4397700313310,0.017807,0.717295,0.306767
64kB,256kB,16,4,Chunked,3.83717,3837169871793,0.013937,0.612271,0.321629
64kB,256kB,16,8,Simple,4.411412,4411411818088,0.017946,0.776259,0.305399
64kB,256kB,16,8,Chunked,3.854771,3854771114700,0.013915,0.660684,0.320517
64kB,256kB,16,16,Simple,4.44904,4449040252736,0.017901,0.831741,0.303235
64kB,256kB,16,16,Chunked,3.8794,3879399719201,0.013933,0.700064,0.317837
64kB,512kB,4,4,Simple,4.200057,4200057343059,0.016981,0.606758,0.321336
64kB,512kB,4,4,Chunked,3.666391,3666391026785,0.013117,0.478175,0.336433
64kB,512kB,4,8,Simple,4.218279,4218279068623,0.016988,0.642946,0.319976
64kB,512kB,4,8,Chunked,3.684352,3684352268471,0.013146,0.500869,0.335049
64kB,512kB,4,16,Simple,4.253243,4253242639393,0.016855,0.709769,0.317483
64kB,512kB,4,16,Chunked,3.713175,3713174789325,0.013141,0.550504,0.332124
64kB,512kB,8,4,Simple,4.21001,4210010060431,0.017259,0.587861,0.320704
64kB,512kB,8,4,Chunked,3.672529,3672528612512,0.013439,0.501337,0.336025
64kB,512kB,8,8,Simple,4.230658,4230658208477,0.017279,0.615751,0.318907
64kB,512kB,8,8,Chunked,3.69295,3692950369457,0.013341,0.524941,0.334567
64kB,512kB,8,16,Simple,4.261141,4261141217000,0.017239,0.689102,0.316764
64kB,512kB,8,16,Chunked,3.719479,3719479232000,0.013387,0.553889,0.33184
64kB,512kB,16,4,Simple,4.22834,4228339813740,0.017944,0.599759,0.31894
64kB,512kB,16,4,Chunked,3.689946,3689945758959,0.01398,0.477016,0.334423
64kB,512kB,16,8,Simple,4.244731,4244731246336,0.017884,0.635977,0.318399
64kB,512kB,16,8,Chunked,3.705005,3705005087281,0.01395,0.51032,0.333035
64kB,512kB,16,16,Simple,4.276298,4276298028990,0.017971,0.687375,0.315854
64kB,512kB,16,16,Chunked,3.733084,3733083566465,0.013974,0.552672,0.330361
64kB,1024kB,4,4,Simple,3.99233,3992329651107,0.016925,0.429661,0.338133
64kB,1024kB,4,4,Chunked,3.485564,3485563687044,0.013152,0.314563,0.354228
64kB,1024kB,4,8,Simple,4.00737,4007369890898,0.016847,0.444974,0.336632
64kB,1024kB,4,8,Chunked,3.496201,3496201024213,0.013117,0.333246,0.353007
64kB,1024kB,4,16,Simple,4.044546,4044546441755,0.016816,0.486303,0.334109
64kB,1024kB,4,16,Chunked,3.526287,3526287343066,0.013109,0.355412,0.349708
64kB,1024kB,8,4,Simple,3.998588,3998588086907,0.0172,0.441945,0.337332
64kB,1024kB,8,4,Chunked,3.490784,3490783697239,0.013372,0.31588,0.353382
64kB,1024kB,8,8,Simple,4.01433,4014329902311,0.017277,0.45503,0.336221
64kB,1024kB,8,8,Chunked,3.508036,3508036398942,0.013432,0.321706,0.352012
64kB,1024kB,8,16,Simple,4.047291,4047290870246,0.017282,0.489117,0.333675
64kB,1024kB,8,16,Chunked,3.531122,3531122222347,0.013362,0.348985,0.349418
64kB,1024kB,16,4,Simple,4.014403,4014403009891,0.017814,0.432739,0.336174
64kB,1024kB,16,4,Chunked,3.505585,3505584828839,0.013966,0.314279,0.352005
64kB,1024kB,16,8,Simple,4.030679,4030679045909,0.017966,0.439741,0.334641
64kB,1024kB,16,8,Chunked,3.518706,3518705784940,0.013925,0.326609,0.350582
64kB,1024kB,16,16,Simple,4.06435,4064349861629,0.017941,0.486791,0.332334
64kB,1024kB,16,16,Chunked,3.545217,3545217360384,0.013945,0.36159,0.348058
128kB,256kB,4,4,Simple,4.193268,4193267740291,0.01,0.737439,0.321782
128kB,256kB,4,4,Chunked,3.661559,3661559224352,0.01,0.625491,0.336748
128kB,256kB,4,8,Simple,4.214041,4214040889457,0.01,0.771555,0.320926
128kB,256kB,4,8,Chunked,3.676412,3676412122394,0.01,0.652296,0.336118
128kB,256kB,4,16,Simple,4.242873,4242872865316,0.01,0.82171,0.317391
128kB,256kB,4,16,Chunked,3.708239,3708238828811,0.01,0.691604,0.332864
128kB,256kB,8,4,Simple,4.204493,4204493197263,0.01,0.72741,0.320905
128kB,256kB,8,4,Chunked,3.667436,3667435844720,0.01,0.63266,0.336433
128kB,256kB,8,8,Simple,4.220529,4220529403580,0.01,0.765341,0.319589
128kB,256kB,8,8,Chunked,3.68527,3685269695373,0.01,0.656025,0.335129
128kB,256kB,8,16,Simple,4.253266,4253266181565,0.01,0.858336,0.317244
128kB,256kB,8,16,Chunked,3.713331,3713330767239,0.01,0.711133,0.332302
