L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
16kB,512kB,4,16,1017639882000,1.01764,521.53,0.500006,0.001443,0.49999400000000005,0.998557,528
16kB,512kB,8,4,1017654347000,1.017654,532.9,0.500006,0.001443,0.49999400000000005,0.998557,528
16kB,512kB,8,8,1017643006000,1.017643,529.58,0.500006,0.001443,0.49999400000000005,0.998557,528
16kB,512kB,8,16,1017643006000,1.017643,541.27,0.500006,0.001443,0.49999400000000005,0.998557,528
32kB,128kB,2,4,2284330391000,2.28433,665.54,0.505441,0.989079,0.49455899999999997,0.010920999999999959,160
32kB,128kB,2,8,2284251145000,2.284251,734.06,0.505441,0.989049,0.49455899999999997,0.010951000000000044,160
32kB,128kB,2,16,2284221383000,2.284221,672.2,0.505441,0.989042,0.49455899999999997,0.010958000000000023,160
32kB,128kB,4,4,2276017686000,2.276018,659.6,0.499991,0.999861,0.5000089999999999,0.00013900000000000023,160
32kB,128kB,4,8,2275943217000,2.275943,680.12,0.499991,0.999831,0.5000089999999999,0.00016899999999997473,160
32kB,128kB,4,16,2275888713000,2.275889,690.49,0.499991,0.999816,0.5000089999999999,0.00018399999999996197,160
32kB,128kB,8,4,2276006889000,2.276007,675.51,0.49999,0.999862,0.5000100000000001,0.00013799999999997148,160
32kB,128kB,8,8,2275943362000,2.275943,672.77,0.49999,0.999832,0.5000100000000001,0.00016799999999994597,160
32kB,128kB,8,16,2275907319000,2.275907,694.27,0.49999,0.999818,0.5000100000000001,0.00018200000000001548,160
32kB,256kB,2,4,1058957699000,1.058958,513.67,0.505441,0.0251,0.49455899999999997,0.9749,288
32kB,256kB,2,8,1083217189000,1.083217,515.87,0.505441,0.041307,0.49455899999999997,0.958693,288
32kB,256kB,2,16,1132353320000,1.132353,525.63,0.505441,0.073811,0.49455899999999997,0.926189,288
32kB,256kB,4,4,1050638009000,1.050638,537.83,0.499991,0.025373,0.5000089999999999,0.974627,288
32kB,256kB,4,8,1074901474000,1.074901,522.42,0.499991,0.041757,0.5000089999999999,0.958243,288
32kB,256kB,4,16,1124045392000,1.124045,536.1,0.499991,0.074616,0.5000089999999999,0.925384,288
32kB,256kB,8,4,1050638009000,1.050638,523.32,0.49999,0.025373,0.5000100000000001,0.974627,288
32kB,256kB,8,8,1074901615000,1.074902,539.82,0.49999,0.041757,0.5000100000000001,0.958243,288
32kB,256kB,8,16,1124045537000,1.124046,532.18,0.49999,0.074616,0.5000100000000001,0.925384,288
32kB,512kB,2,4,1025962372000,1.025962,512.17,0.505441,0.001427,0.49455899999999997,0.998573,544
32kB,512kB,2,8,1025950957000,1.025951,533.86,0.505441,0.001427,0.49455899999999997,0.998573,544
32kB,512kB,2,16,1025954250000,1.025954,546.11,0.505441,0.001427,0.49455899999999997,0.998573,544
32kB,512kB,4,4,1017623254000,1.017623,413.26,0.499991,0.001443,0.5000089999999999,0.998557,544
32kB,512kB,4,8,1017607360000,1.017607,359.79,0.499991,0.001443,0.5000089999999999,0.998557,544
32kB,512kB,4,16,1017607367000,1.017607,442.97,0.499991,0.001443,0.5000089999999999,0.998557,544
32kB,512kB,8,4,1017623254000,1.017623,350.4,0.49999,0.001443,0.5000100000000001,0.998557,544
32kB,512kB,8,8,1017607500000,1.017607,453.48,0.49999,0.001443,0.5000100000000001,0.998557,544
32kB,512kB,8,16,1017607500000,1.017607,428.87,0.49999,0.001443,0.5000100000000001,0.998557,544
64kB,128kB,2,4,2284409763000,2.28441,545.35,0.505426,0.989177,0.49457399999999996,0.010823000000000027,192
64kB,128kB,2,8,2284267672000,2.284268,438.82,0.505426,0.989064,0.49457399999999996,0.010935999999999946,192
64kB,128kB,2,16,2284316225000,2.284316,518.71,0.505426,0.989088,0.49457399999999996,0.010912000000000033,192
64kB,128kB,4,4,2275935177000,2.275935,475.39,0.499967,0.999901,0.500033,9.899999999996023e-05,192
64kB,128kB,4,8,2275938001000,2.275938,474.69,0.499967,0.999934,0.500033,6.60000000000105e-05,192
64kB,128kB,4,16,2275938001000,2.275938,435.28,0.499967,0.999891,0.500033,0.00010900000000002574,192
64kB,128kB,8,4,2275989657000,2.27599,513.56,0.49996,0.999982,0.50004,1.799999999996249e-05,192
64kB,128kB,8,8,2275928430000,2.275928,532.47,0.49996,0.999922,0.50004,7.80000000000225e-05,192
64kB,128kB,8,16,2275953574000,2.275954,489.2,0.49996,0.999938,0.50004,6.20000000000065e-05,192
64kB,256kB,2,4,1058957570000,1.058958,364.29,0.505426,0.0251,0.49457399999999996,0.9749,320
64kB,256kB,2,8,1083217086000,1.083217,433.2,0.505426,0.041308,0.49457399999999996,0.958692,320
64kB,256kB,2,16,1128327706000,1.128328,439.62,0.505426,0.071169,0.49457399999999996,0.928831,320
