L1_Size,Execution_Time,Hits,Misses
16kB,Error: [WinError 2] The system cannot find the file specified,0,0
32kB,Error: [WinError 2] The system cannot find the file specified,0,0
64kB,Error: [WinError 2] The system cannot find the file specified,0,0
128kB,Error: [WinError 2] The system cannot find the file specified,0,0
256kB,Error: [WinError 2] The system cannot find the file specified,0,0
